Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,16,5,Some Random Commen with Id 0
1,0,6,72,2,Some Random Commen with Id 1
2,0,6,197,0,Some Random Commen with Id 2
3,0,6,178,1,Some Random Commen with Id 3
4,0,6,80,6,Some Random Commen with Id 4
5,0,6,35,5,Some Random Commen with Id 5
6,1,1,52,4,Some Random Commen with Id 6
7,2,6,182,5,Some Random Commen with Id 7
8,2,6,75,0,Some Random Commen with Id 8
9,2,6,36,0,Some Random Commen with Id 9
10,3,8,84,6,Some Random Commen with Id 10
11,3,8,27,1,Some Random Commen with Id 11
12,4,5,22,7,Some Random Commen with Id 12
13,4,5,11,2,Some Random Commen with Id 13
14,4,5,70,0,Some Random Commen with Id 14
15,4,5,29,9,Some Random Commen with Id 15
16,4,5,86,3,Some Random Commen with Id 16
17,4,5,56,6,Some Random Commen with Id 17
18,5,5,156,4,Some Random Commen with Id 18
19,7,4,119,7,Some Random Commen with Id 19
20,7,4,51,3,Some Random Commen with Id 20
21,7,4,174,4,Some Random Commen with Id 21
22,7,4,146,7,Some Random Commen with Id 22
23,8,0,70,4,Some Random Commen with Id 23
24,8,0,159,7,Some Random Commen with Id 24
25,9,8,14,1,Some Random Commen with Id 25
26,9,8,162,9,Some Random Commen with Id 26
27,9,8,145,9,Some Random Commen with Id 27
28,9,8,6,7,Some Random Commen with Id 28
29,10,3,118,5,Some Random Commen with Id 29
30,10,3,197,6,Some Random Commen with Id 30
31,10,3,133,6,Some Random Commen with Id 31
32,10,3,37,5,Some Random Commen with Id 32
33,10,3,94,9,Some Random Commen with Id 33
34,11,4,3,2,Some Random Commen with Id 34
35,11,4,91,1,Some Random Commen with Id 35
36,12,9,191,9,Some Random Commen with Id 36
37,12,9,173,0,Some Random Commen with Id 37
38,13,5,51,9,Some Random Commen with Id 38
39,13,5,99,1,Some Random Commen with Id 39
40,13,5,163,4,Some Random Commen with Id 40
41,14,4,47,6,Some Random Commen with Id 41
42,14,4,166,4,Some Random Commen with Id 42
43,14,4,36,6,Some Random Commen with Id 43
44,14,4,113,6,Some Random Commen with Id 44
45,14,4,55,1,Some Random Commen with Id 45
46,14,4,156,5,Some Random Commen with Id 46
47,14,4,107,5,Some Random Commen with Id 47
48,14,4,102,5,Some Random Commen with Id 48
49,14,4,112,7,Some Random Commen with Id 49
50,15,6,37,8,Some Random Commen with Id 50
51,15,6,55,8,Some Random Commen with Id 51
52,15,6,158,0,Some Random Commen with Id 52
53,15,6,178,4,Some Random Commen with Id 53
54,16,6,179,0,Some Random Commen with Id 54
55,16,6,57,4,Some Random Commen with Id 55
56,16,6,29,8,Some Random Commen with Id 56
57,16,6,45,0,Some Random Commen with Id 57
58,16,6,78,4,Some Random Commen with Id 58
59,16,6,20,0,Some Random Commen with Id 59
60,16,6,110,7,Some Random Commen with Id 60
61,17,3,197,6,Some Random Commen with Id 61
62,17,3,64,5,Some Random Commen with Id 62
63,17,3,101,9,Some Random Commen with Id 63
64,17,3,49,1,Some Random Commen with Id 64
65,17,3,151,5,Some Random Commen with Id 65
66,18,7,113,0,Some Random Commen with Id 66
67,18,7,4,7,Some Random Commen with Id 67
68,18,7,149,2,Some Random Commen with Id 68
69,19,2,28,4,Some Random Commen with Id 69
70,19,2,174,8,Some Random Commen with Id 70
71,19,2,17,4,Some Random Commen with Id 71
72,19,2,151,3,Some Random Commen with Id 72
73,19,2,171,1,Some Random Commen with Id 73
74,19,2,66,8,Some Random Commen with Id 74
75,19,2,74,2,Some Random Commen with Id 75
76,20,1,3,6,Some Random Commen with Id 76
77,20,1,6,3,Some Random Commen with Id 77
78,20,1,78,0,Some Random Commen with Id 78
79,20,1,38,3,Some Random Commen with Id 79
80,21,1,144,8,Some Random Commen with Id 80
81,21,1,159,5,Some Random Commen with Id 81
82,21,1,140,0,Some Random Commen with Id 82
83,21,1,162,5,Some Random Commen with Id 83
84,21,1,192,2,Some Random Commen with Id 84
85,21,1,118,1,Some Random Commen with Id 85
86,21,1,126,8,Some Random Commen with Id 86
87,21,1,166,2,Some Random Commen with Id 87
88,22,8,138,9,Some Random Commen with Id 88
89,22,8,6,3,Some Random Commen with Id 89
90,22,8,120,8,Some Random Commen with Id 90
91,22,8,152,6,Some Random Commen with Id 91
92,22,8,82,1,Some Random Commen with Id 92
93,22,8,12,1,Some Random Commen with Id 93
94,22,8,160,3,Some Random Commen with Id 94
95,22,8,11,4,Some Random Commen with Id 95
96,22,8,70,8,Some Random Commen with Id 96
97,24,0,138,4,Some Random Commen with Id 97
98,24,0,185,4,Some Random Commen with Id 98
99,24,0,12,8,Some Random Commen with Id 99
100,25,8,104,3,Some Random Commen with Id 100
101,25,8,121,6,Some Random Commen with Id 101
102,25,8,12,0,Some Random Commen with Id 102
103,25,8,137,2,Some Random Commen with Id 103
104,26,2,61,9,Some Random Commen with Id 104
105,26,2,82,9,Some Random Commen with Id 105
106,26,2,128,0,Some Random Commen with Id 106
107,26,2,166,5,Some Random Commen with Id 107
108,26,2,190,5,Some Random Commen with Id 108
109,26,2,47,8,Some Random Commen with Id 109
110,26,2,156,4,Some Random Commen with Id 110
111,26,2,142,2,Some Random Commen with Id 111
112,26,2,198,5,Some Random Commen with Id 112
113,27,6,95,8,Some Random Commen with Id 113
114,27,6,194,9,Some Random Commen with Id 114
115,27,6,171,7,Some Random Commen with Id 115
116,27,6,45,0,Some Random Commen with Id 116
117,27,6,153,2,Some Random Commen with Id 117
118,27,6,113,2,Some Random Commen with Id 118
119,27,6,60,6,Some Random Commen with Id 119
120,27,6,166,4,Some Random Commen with Id 120
121,28,5,56,3,Some Random Commen with Id 121
122,28,5,2,2,Some Random Commen with Id 122
123,28,5,24,9,Some Random Commen with Id 123
124,28,5,57,8,Some Random Commen with Id 124
125,28,5,88,4,Some Random Commen with Id 125
126,28,5,64,4,Some Random Commen with Id 126
127,28,5,124,6,Some Random Commen with Id 127
128,30,2,140,4,Some Random Commen with Id 128
129,30,2,62,1,Some Random Commen with Id 129
130,30,2,92,1,Some Random Commen with Id 130
131,30,2,184,4,Some Random Commen with Id 131
132,30,2,187,0,Some Random Commen with Id 132
133,30,2,195,3,Some Random Commen with Id 133
134,30,2,125,8,Some Random Commen with Id 134
135,30,2,163,3,Some Random Commen with Id 135
136,31,0,82,5,Some Random Commen with Id 136
137,31,0,155,9,Some Random Commen with Id 137
138,31,0,69,5,Some Random Commen with Id 138
139,31,0,85,1,Some Random Commen with Id 139
140,31,0,191,3,Some Random Commen with Id 140
141,31,0,17,1,Some Random Commen with Id 141
142,31,0,81,8,Some Random Commen with Id 142
143,31,0,79,0,Some Random Commen with Id 143
144,33,2,180,3,Some Random Commen with Id 144
145,33,2,30,8,Some Random Commen with Id 145
146,34,4,50,1,Some Random Commen with Id 146
147,34,4,123,9,Some Random Commen with Id 147
148,34,4,50,9,Some Random Commen with Id 148
149,35,5,150,1,Some Random Commen with Id 149
150,35,5,128,5,Some Random Commen with Id 150
151,35,5,151,5,Some Random Commen with Id 151
152,35,5,64,7,Some Random Commen with Id 152
153,35,5,96,2,Some Random Commen with Id 153
154,35,5,134,8,Some Random Commen with Id 154
155,35,5,145,9,Some Random Commen with Id 155
156,35,5,24,0,Some Random Commen with Id 156
157,35,5,196,1,Some Random Commen with Id 157
158,36,0,152,8,Some Random Commen with Id 158
159,36,0,143,7,Some Random Commen with Id 159
160,36,0,115,5,Some Random Commen with Id 160
161,36,0,85,8,Some Random Commen with Id 161
162,36,0,133,3,Some Random Commen with Id 162
163,38,5,102,0,Some Random Commen with Id 163
164,38,5,66,8,Some Random Commen with Id 164
165,39,5,52,3,Some Random Commen with Id 165
166,39,5,134,8,Some Random Commen with Id 166
167,39,5,110,3,Some Random Commen with Id 167
168,39,5,49,1,Some Random Commen with Id 168
169,39,5,41,5,Some Random Commen with Id 169
170,39,5,80,8,Some Random Commen with Id 170
